Source,Target,Label
cNational Iranian Oil Co,countryIran,country
cNational Iranian Oil Co,hTehran,headquarter
cNational Iranian Oil Co,d+51000000000 (+2007-00-00T00:00:00Z),revenue
cNational Iranian Oil Co,ppetrochemical product,product
cNational Iranian Oil Co,sTehran Stock Exchange,stock exchange sector
cNational Iranian Oil Co,sectorpetroleum industry,activity sector
cExxonMobil Corp,countryUnited States of America,country
cExxonMobil Corp,hIrving,headquarter
cExxonMobil Corp,d+268882000000 (+2015-00-00T00:00:00Z),revenue
cExxonMobil Corp,pgasoline,product
cExxonMobil Corp,sNew York Stock Exchange,stock exchange sector
cExxonMobil Corp,sectorpetroleum industry,activity sector
cExxonMobil Corp,groupDow Jones Industrial Average,group
cExxonMobil Corp,groupS&P 100,group
cExxonMobil Corp,groupS&P 500,group
cExxonMobil Corp,groupBig Oil,group
cExxonMobil Corp,groupfossil fuels lobby,group
cCoal India,countryIndia,country
cCoal India,hKolkata,headquarter
cCoal India,pcoal,product
cCoal India,sNational Stock Exchange of India,stock exchange sector
cCoal India,sectormining of coal,activity sector
cRoyal Dutch Shell PLC,countryNetherlands,country
cRoyal Dutch Shell PLC,hShell Centre,headquarter
cRoyal Dutch Shell PLC,d+264960000000 (+2015-00-00T00:00:00Z),revenue
cRoyal Dutch Shell PLC,ppetroleum,product
cRoyal Dutch Shell PLC,sLondon Stock Exchange,stock exchange sector
cRoyal Dutch Shell PLC,sectorpetroleum industry,activity sector
cRoyal Dutch Shell PLC,sectorextraction of crude petroleum and natural gas,activity sector
cRoyal Dutch Shell PLC,groupFTSE 100 Index,group
cRoyal Dutch Shell PLC,groupAEX index,group
cRoyal Dutch Shell PLC,groupSeven Sisters,group
cBP PLC,countryUnited Kingdom,country
cBP PLC,hLondon,headquarter
cBP PLC,d+222894000000 (+2015-00-00T00:00:00Z),revenue
cBP PLC,ppetroleum,product
cBP PLC,sNew York Stock Exchange,stock exchange sector
cBP PLC,sectorpetroleum industry,activity sector
cBP PLC,groupFTSE 100 Index,group
cBP PLC,groupSeven Sisters,group
cChevron Corp,countryUnited States of America,country
cChevron Corp,hSan Ramon,headquarter
cChevron Corp,d+166339000000 (+2018-00-00T00:00:00Z),revenue
cChevron Corp,ppetroleum,product
cChevron Corp,sNew York Stock Exchange,stock exchange sector
cChevron Corp,sectorpetroleum industry,activity sector
cChevron Corp,groupDow Jones Industrial Average,group
cChevron Corp,groupS&P 500,group
cChevron Corp,groupSeven Sisters,group
cAbu Dhabi National Oil Co,countryUnited Arab Emirates,country
cAbu Dhabi National Oil Co,hAbu Dhabi,headquarter
cAbu Dhabi National Oil Co,ppetroleum,product
