Id,Label,Type,community
cNational Iranian Oil Co,National Iranian Oil Co,Company,0
countryIran,Iran,Country,0
hTehran,Tehran,Headquarter,0
d+51000000000 (+2007-00-00T00:00:00Z),+51000000000 (+2007-00-00T00:00:00Z),Revenue,0
ppetrochemical product,petrochemical product,Product,0
sTehran Stock Exchange,Tehran Stock Exchange,Stock Exchange Sector,0
sectorpetroleum industry,petroleum industry,Activity Sector,9
cExxonMobil Corp,ExxonMobil Corp,Company,12
countryUnited States of America,United States of America,Country,12
hIrving,Irving,Headquarter,12
d+268882000000 (+2015-00-00T00:00:00Z),+268882000000 (+2015-00-00T00:00:00Z),Revenue,12
pgasoline,gasoline,Product,12
sNew York Stock Exchange,New York Stock Exchange,Stock Exchange Sector,12
groupDow Jones Industrial Average,Dow Jones Industrial Average,Group,12
groupS&P 100,S&P 100,Group,12
groupS&P 500,S&P 500,Group,12
groupBig Oil,Big Oil,Group,12
groupfossil fuels lobby,fossil fuels lobby,Group,12
cCoal India,Coal India,Company,1
countryIndia,India,Country,1
hKolkata,Kolkata,Headquarter,1
pcoal,coal,Product,1
sNational Stock Exchange of India,National Stock Exchange of India,Stock Exchange Sector,1
sectormining of coal,mining of coal,Activity Sector,1
cRoyal Dutch Shell PLC,Royal Dutch Shell PLC,Company,2
countryNetherlands,Netherlands,Country,2
hShell Centre,Shell Centre,Headquarter,2
d+264960000000 (+2015-00-00T00:00:00Z),+264960000000 (+2015-00-00T00:00:00Z),Revenue,2
ppetroleum,petroleum,Product,14
sLondon Stock Exchange,London Stock Exchange,Stock Exchange Sector,2
sectorextraction of crude petroleum and natural gas,extraction of crude petroleum and natural gas,Activity Sector,14
groupFTSE 100 Index,FTSE 100 Index,Group,2
groupAEX index,AEX index,Group,2
groupSeven Sisters,Seven Sisters,Group,12
cBP PLC,BP PLC,Company,2
countryUnited Kingdom,United Kingdom,Country,2
hLondon,London,Headquarter,2
d+222894000000 (+2015-00-00T00:00:00Z),+222894000000 (+2015-00-00T00:00:00Z),Revenue,2
cChevron Corp,Chevron Corp,Company,12
hSan Ramon,San Ramon,Headquarter,12
d+166339000000 (+2018-00-00T00:00:00Z),+166339000000 (+2018-00-00T00:00:00Z),Revenue,12
cAbu Dhabi National Oil Co,Abu Dhabi National Oil Co,Company,14
countryUnited Arab Emirates,United Arab Emirates,Country,14
hAbu Dhabi,Abu Dhabi,Headquarter,14
cPeabody Energy Corp,Peabody Energy Corp,Company,1
hSt. Louis,St. Louis,Headquarter,1
cSonatrach SPA,Sonatrach SPA,Company,14
countryAlgeria,Algeria,Country,14
hAlgiers,Algiers,Headquarter,14
cKuwait Petroleum Corp,Kuwait Petroleum Corp,Company,9
countryKuwait,Kuwait,Country,9
hKuwait City,Kuwait City,Headquarter,9
cTotal SA,Total SA,Company,6
countryFrance,France,Country,6
hCourbevoie,Courbevoie,Headquarter,6
d+100481000000,+100481000000,Revenue,6
sectorenergy industry,energy industry,Activity Sector,6
sectoractivities of head offices,activities of head offices,Activity Sector,6
groupCAC 40,CAC 40,Group,6
groupEURO STOXX 50,EURO STOXX 50,Group,6
groupStoxx Europe 50,Stoxx Europe 50,Group,6
cBHP Billiton Ltd,BHP Billiton Ltd,Company,4
countryAustralia,Australia,Country,4
hMelbourne,Melbourne,Headquarter,4
d+43638000000 (+2018-00-00T00:00:00Z),+43638000000 (+2018-00-00T00:00:00Z),Revenue,4
piron ore,iron ore,Product,4
sectormining and quarrying,mining and quarrying,Activity Sector,4
sectormetal industry,metal industry,Activity Sector,4
sectormining,mining,Activity Sector,2
cConocoPhillips,ConocoPhillips,Company,12
hHouston,Houston,Headquarter,12
d+198700000000 (+2010-00-00T00:00:00Z),+198700000000 (+2010-00-00T00:00:00Z),Revenue,12
cLukoil OAO,Lukoil OAO,Company,5
countryRussia,Russia,Country,5
hMoscow,Moscow,Headquarter,5
d+5227045000000 (+2016-00-00T00:00:00Z),+5227045000000 (+2016-00-00T00:00:00Z),Revenue,5
sMoscow Exchange,Moscow Exchange,Stock Exchange Sector,5
