Id,Label,count,rate,type,in_degree,out_degree,total_degree,community
101,Wheeler,6992,0.0029280602563979,PERSON,49,31,80,1
397,YouTube,15678,0.0029581271609771,ORG,34,21,55,3
398,The Associated Press,14755,0.0027839753961103,ORG,27,15,42,1
399,The Wall Street Journal,11169,0.0021073684309831,ORG,13,46,59,3
400,NBC,7308,0.0013788744286529,ORG,34,15,49,1
401,the National Weather Service,30438,0.0057430459577639,ORG,23,26,49,1
402,The National Weather Service,7434,0.0014026481256987,ORG,0,12,12,1
403,Apple,91630,0.0172887607960415,ORG,117,76,193,3
404,Airbnb,11765,0.0022198217916122,ORG,12,15,27,3
405,AT&T,11194,0.0021120854343652,ORG,24,31,55,1
406,Business Insider,13280,0.0025056721965669,ORG,34,9,43,3
407,the Environmental Protection Agency,36491,0.0068851268166359,ORG,159,29,188,1
408,Sanders,27302,0.0051513450535144,ORG,89,148,237,1
409,The European Union,9727,0.0018352916759041,ORG,0,33,33,3
410,G Crosse,8308,0.0015675545639366,ORG,22,0,22,2
411,the Energy Department,8442,0.0015928377020646,ORG,43,21,64,1
412,LNG,53100,0.0100189151835622,ORG,56,43,99,3
413,the Interior Department,11008,0.0020769909292025,ORG,53,7,60,1
1,Europe,197395,0.252718003605228,LOC,229,143,372,3
2,Asia,98384,0.125957638575935,LOC,88,78,166,3
3,Earth,69825,0.0893945368511615,LOC,97,57,154,1
4,Mars,37064,0.04745175959687,LOC,102,60,162,3
5,North America,36192,0.0463353681019296,LOC,33,28,61,3
6,Africa,34216,0.0438055635216519,LOC,21,33,54,3
7,the Middle East,33250,0.0425688270719816,LOC,31,23,54,3
8,Antarctica,18620,0.0238385431603097,LOC,11,14,25,1
9,the East Coast,18408,0.0235671268794297,LOC,44,18,62,1
10,Southern California,15675,0.0200681613339342,LOC,12,7,19,1
11,Silicon Valley,14008,0.0179339587856938,LOC,31,42,73,3
12,Northern California,12528,0.0160391658814372,LOC,10,7,17,1
13,Laurie Goering,6776,0.0028376053056853,PERSON,2,5,7,0
14,Trump,53340,0.0223373475509531,PERSON,3558,5187,8745,1
15,Richard Valdmanis,7742,0.0032421399463719,PERSON,9,21,30,2
16,Hyperallergic,1281,0.0005364481104756,PERSON,5,0,5,3
17,Twitter,44125,0.0184783550934722,PERSON,896,234,1130,1
18,Paul Simao,3776,0.0015812865457892,PERSON,13,0,13,2
19,Susan Heavey,1369,0.0005733001274326,PERSON,5,5,10,2
20,Stephen Addison,4160,0.0017420953470559,PERSON,17,2,19,0
21,Lefteris Karagiannopoulos,1144,0.0004790762204403,PERSON,0,14,14,0
22,Gabrielle Tétrault-Farber,1221,0.0005113217352777,PERSON,9,14,23,0
23,Vladimir Soldatkin,17220,0.0072112696818037,PERSON,25,74,99,0
24,Otto,2204,0.0009229755156036,PERSON,27,25,52,3
25,Shivani Singh,1287,0.0005389607479954,PERSON,1,20,21,0
26,Christian Schmollinger,8988,0.0037639310046488,PERSON,24,1,25,0
27,Tom Balmforth,6900,0.002889533147761,PERSON,21,19,40,0
28,Jason Neely,27692,0.0115966596996812,PERSON,80,4,84,0
29,Hess,1260,0.0005276538791563,PERSON,5,3,8,3
30,Marguerita Choy,8160,0.0034171870269174,PERSON,22,1,23,2
31,Jeff Bezos,1260,0.0005276538791563,PERSON,15,16,31,1
32,Shadia Nasralla,2360,0.0009883040911182,PERSON,1,28,29,0
33,Fransiska Nangoy,3776,0.0015812865457892,PERSON,2,29,31,0
34,Ed Davies,3190,0.0013358856146895,PERSON,7,19,26,0
35,Bernie Sanders,3560,0.0014908315950767,PERSON,16,27,43,1
36,Cooper,1440,0.0006030330047501,PERSON,12,8,20,1
37,Clinton,41684,0.0174561303958367,PERSON,289,211,500,1
38,Olzhas Auyezov,2835,0.0011872212281018,PERSON,2,36,38,0
39,Richard Pullin,15106,0.0063259837289969,PERSON,38,2,40,0
40,Donald Trump,55762,0.0233516155631093,PERSON,78,111,189,1
41,Schumer,3977,0.0016654599027023,PERSON,22,76,98,1
42,Timothy Gardner,3626,0.0015184706077944,PERSON,2,35,37,2
43,Grant McCool,11154,0.0046709931492938,PERSON,30,0,30,2
44,David Shepardson,4914,0.0020578501287098,PERSON,0,36,36,2
45,Diane Craft,5963,0.0024971429217535,PERSON,16,0,16,2
46,Pruitt,48128,0.0201547030920936,PERSON,296,171,467,1
47,Motherboard,15540,0.0065077311762619,PERSON,23,14,37,3
48,Larry King,11534,0.0048301268588806,PERSON,34,0,34,0
49,Tassilo Hummel,1240,0.000519278420757,PERSON,11,8,19,0
50,Michelle Martin,5355,0.0022425289864145,PERSON,14,25,39,0
51,Li,2035,0.0008522028921295,PERSON,4,11,15,3
52,Kelly,6105,0.0025566086763886,PERSON,23,34,57,1
53,Putin,21414,0.0089676033081385,PERSON,120,74,194,1
54,Chris,2035,0.0008522028921295,PERSON,0,2,2,1
55,Cruz,5494,0.0023007384222897,PERSON,37,86,123,1
56,Dominique Patton,2688,0.0011256616088669,PERSON,1,26,27,0
57,Tom Hogue,1482,0.0006206214673886,PERSON,5,0,5,0
58,Gopakumar Warrier,1150,0.0004815888579601,PERSON,6,0,6,0
59,Brown,15540,0.0065077311762619,PERSON,33,46,79,3
60,Musk,34207,0.0143249652732556,PERSON,77,198,275,3
61,Wright,1888,0.0007906432728946,PERSON,5,4,9,3
62,Bloomberg,46752,0.0195784715542213,PERSON,62,84,146,3
63,Michael Holden,3294,0.0013794379983659,PERSON,14,20,34,0
